source	target	edge_type	source_node_type	target_node_type
ncbigene:3065	ncbigene:7088	interacts	Gene	Gene
ncbigene:5933	ncbigene:7027	interacts	Gene	Gene
ncbigene:5933	ncbigene:132660	interacts	Gene	Gene
ncbigene:5933	ncbigene:286826	interacts	Gene	Gene
ncbigene:5933	ncbigene:55957	interacts	Gene	Gene
ncbigene:5933	ncbigene:91750	interacts	Gene	Gene
ncbigene:5933	GO:0007049	participates	Gene	Biological Process
ncbigene:5933	GO:0030154	participates	Gene	Biological Process
ncbigene:1870	ncbigene:894	interacts	Gene	Gene
ncbigene:1870	ncbigene:1021	interacts	Gene	Gene
ncbigene:1870	ncbigene:1027	interacts	Gene	Gene
ncbigene:1870	ncbigene:896	interacts	Gene	Gene
ncbigene:1871	ncbigene:894	interacts	Gene	Gene
ncbigene:1871	ncbigene:1021	interacts	Gene	Gene
ncbigene:1871	ncbigene:1027	interacts	Gene	Gene
ncbigene:1871	ncbigene:896	interacts	Gene	Gene
ncbigene:2645	ncbigene:10746	interacts	Gene	Gene
ncbigene:2645	ncbigene:1326	interacts	Gene	Gene
ncbigene:2645	ncbigene:4214	interacts	Gene	Gene
ncbigene:2645	ncbigene:4215	interacts	Gene	Gene
ncbigene:10746	ncbigene:5607	interacts	Gene	Gene
ncbigene:10746	ncbigene:5609	interacts	Gene	Gene
ncbigene:10746	ncbigene:6416	interacts	Gene	Gene
ncbigene:1326	ncbigene:5607	interacts	Gene	Gene
ncbigene:1326	ncbigene:5609	interacts	Gene	Gene
ncbigene:1326	ncbigene:6416	interacts	Gene	Gene
ncbigene:1326	ncbigene:4790	interacts	Gene	Gene
ncbigene:1326	ncbigene:79155	interacts	Gene	Gene
ncbigene:1326	GO:0007049	participates	Gene	Biological Process
ncbigene:4214	ncbigene:1432	interacts	Gene	Gene
ncbigene:4214	ncbigene:5604	interacts	Gene	Gene
ncbigene:4214	ncbigene:5606	interacts	Gene	Gene
ncbigene:4214	ncbigene:5607	interacts	Gene	Gene
ncbigene:4214	ncbigene:5608	interacts	Gene	Gene
ncbigene:4214	ncbigene:5609	interacts	Gene	Gene
ncbigene:4214	ncbigene:6416	interacts	Gene	Gene
ncbigene:4215	ncbigene:3553	interacts	Gene	Gene
ncbigene:4215	ncbigene:5607	interacts	Gene	Gene
ncbigene:4215	ncbigene:5609	interacts	Gene	Gene
ncbigene:4215	ncbigene:6416	interacts	Gene	Gene
ncbigene:983	GO:0051301	participates	Gene	Biological Process
ncbigene:10142	ncbigene:3845	interacts	Gene	Gene
ncbigene:10142	ncbigene:673	interacts	Gene	Gene
ncbigene:10142	ncbigene:4893	interacts	Gene	Gene
ncbigene:10142	ncbigene:3265	interacts	Gene	Gene
ncbigene:10142	ncbigene:7529	interacts	Gene	Gene
ncbigene:10142	ncbigene:369	interacts	Gene	Gene
ncbigene:10142	ncbigene:8844	interacts	Gene	Gene
ncbigene:10142	GO:0007165	participates	Gene	Biological Process
ncbigene:5297	ncbigene:4661	interacts	Gene	Gene
ncbigene:5297	ncbigene:5923	interacts	Gene	Gene
ncbigene:5297	GO:0007165	participates	Gene	Biological Process
ncbigene:5567	GO:0007165	participates	Gene	Biological Process
ncbigene:5576	ncbigene:572	interacts	Gene	Gene
ncbigene:5576	ncbigene:596	interacts	Gene	Gene
ncbigene:5576	ncbigene:598	interacts	Gene	Gene
ncbigene:5576	ncbigene:84152	interacts	Gene	Gene
ncbigene:5577	ncbigene:572	interacts	Gene	Gene
ncbigene:5577	ncbigene:596	interacts	Gene	Gene
ncbigene:5577	ncbigene:598	interacts	Gene	Gene
ncbigene:5577	ncbigene:84152	interacts	Gene	Gene
ncbigene:5581	ncbigene:3265	interacts	Gene	Gene
ncbigene:5581	GO:0007049	participates	Gene	Biological Process
ncbigene:5581	GO:0007165	participates	Gene	Biological Process
ncbigene:5581	GO:0051301	participates	Gene	Biological Process
ncbigene:5585	ncbigene:94274	interacts	Gene	Gene
ncbigene:5585	GO:0007165	participates	Gene	Biological Process
ncbigene:6714	ncbigene:2185	interacts	Gene	Gene
ncbigene:6714	ncbigene:2885	interacts	Gene	Gene
ncbigene:6714	ncbigene:5175	interacts	Gene	Gene
ncbigene:6714	ncbigene:5606	interacts	Gene	Gene
ncbigene:6714	ncbigene:6464	interacts	Gene	Gene
ncbigene:6714	ncbigene:6654	interacts	Gene	Gene
ncbigene:6714	GO:0007049	participates	Gene	Biological Process
ncbigene:6714	GO:0007155	participates	Gene	Biological Process
ncbigene:6714	GO:0007165	participates	Gene	Biological Process
ncbigene:6714	GO:0030154	participates	Gene	Biological Process
ncbigene:6714	GO:0043065	participates	Gene	Biological Process
ncbigene:2056	ncbigene:2885	interacts	Gene	Gene
