source	target	relation	source_database
drugbank:DB00712	HGNC:9605	-1	drugbank
drugbank:DB09079	HGNC:3690	-1	drugbank
drugbank:DB11633	HGNC:6267	-1	drugbank
drugbank:DB12010	HGNC:3388	-1	drugbank
drugbank:DB01353	HGNC:1960	-1	drugbank
drugbank:DB00669	HGNC:5292	1	drugbank
drugbank:DB00217	HGNC:6255	-1	drugbank
drugbank:DB00945	HGNC:10432	-1	drugbank
drugbank:DB00753	HGNC:4075	1	drugbank
drugbank:DB01028	HGNC:4087	1	drugbank
drugbank:DB00852	HGNC:277	1	drugbank
drugbank:DB09073	HGNC:1777	-1	drugbank
drugbank:DB00917	HGNC:9595	1	drugbank
drugbank:DB00708	HGNC:8156	1	drugbank
drugbank:DB04896	HGNC:16767	-1	drugbank
drugbank:DB09076	HGNC:1951	-1	drugbank
drugbank:DB00193	HGNC:11526	-1	drugbank
drugbank:DB06152	HGNC:5433	1	drugbank
drugbank:DB00809	HGNC:1952	-1	drugbank
drugbank:DB11496	HGNC:12015	-1	drugbank
drugbank:DB00794	HGNC:4075	1	drugbank
drugbank:DB10772	HGNC:5992	1	drugbank
drugbank:DB00358	HGNC:263	-1	drugbank
drugbank:DB00764	HGNC:8910	1	drugbank
drugbank:DB12010	HGNC:17020	-1	drugbank
drugbank:DB01588	HGNC:4076	1	drugbank
drugbank:DB00831	HGNC:3023	-1	drugbank
drugbank:DB01142	HGNC:1952	-1	drugbank
drugbank:DB01176	HGNC:5182	-1	drugbank
drugbank:DB00934	HGNC:1950	-1	drugbank
drugbank:DB13269	HGNC:10592	-1	drugbank
drugbank:DB00887	HGNC:1884	-1	drugbank
drugbank:DB00241	HGNC:4083	1	drugbank
drugbank:DB00953	HGNC:5287	1	drugbank
drugbank:DB08875	HGNC:9967	-1	drugbank
drugbank:DB00714	HGNC:5286	1	drugbank
drugbank:DB12010	HGNC:6878	-1	drugbank
drugbank:DB00491	HGNC:7043	-1	drugbank
drugbank:DB00363	HGNC:278	-1	drugbank
drugbank:DB01124	HGNC:6255	-1	drugbank
drugbank:DB00898	HGNC:4075	1	drugbank
drugbank:DB01238	HGNC:283	-1	drugbank
drugbank:DB11113	HGNC:9596	1	drugbank
drugbank:DB08901	HGNC:8803	-1	drugbank
drugbank:DB01065	HGNC:7218	-1	drugbank
drugbank:DB01049	HGNC:283	-1	drugbank
drugbank:DB00273	HGNC:1404	-1	drugbank
drugbank:DB01100	HGNC:3023	-1	drugbank
drugbank:DB00922	HGNC:8778	-1	drugbank
drugbank:DB13746	HGNC:1391	1	drugbank
drugbank:DB00924	HGNC:5294	-1	drugbank
drugbank:DB00099	HGNC:2439	1	drugbank
drugbank:DB00909	HGNC:10586	-1	drugbank
drugbank:DB12010	HGNC:8973	-1	drugbank
drugbank:DB00555	HGNC:4081	-1	drugbank
drugbank:DB00216	HGNC:5287	1	drugbank
drugbank:DB00605	HGNC:381	-1	drugbank
drugbank:DB08896	HGNC:8803	-1	drugbank
drugbank:DB00492	HGNC:2707	-1	drugbank
drugbank:DB01338	HGNC:1956	-1	drugbank
drugbank:DB00268	HGNC:282	-1	drugbank
drugbank:DB01238	HGNC:11049	1	drugbank
drugbank:DB00334	HGNC:278	-1	drugbank
drugbank:DB06148	HGNC:281	-1	drugbank
drugbank:DB12698	HGNC:1678	-1	drugbank
drugbank:DB01325	HGNC:1373	-1	drugbank
drugbank:DB01367	HGNC:990	1	drugbank
drugbank:DB06712	HGNC:1391	-1	drugbank
drugbank:DB00243	HGNC:10592	-1	drugbank
drugbank:DB01133	HGNC:851	-1	drugbank
drugbank:DB00568	HGNC:5182	-1	drugbank
drugbank:DB00182	HGNC:281	1	drugbank
drugbank:DB11273	HGNC:5293	-1	drugbank
drugbank:DB00280	HGNC:10593	-1	drugbank
drugbank:DB01336	HGNC:1951	-1	drugbank
drugbank:DB00800	HGNC:3020	1	drugbank
drugbank:DB09085	HGNC:10597	-1	drugbank
drugbank:DB00654	HGNC:9600	1	drugbank
drugbank:DB00413	HGNC:5286	1	drugbank
drugbank:DB09236	HGNC:1391	-1	drugbank
drugbank:DB00349	HGNC:4083	1	drugbank
drugbank:DB01407	HGNC:7808	1	drugbank
drugbank:DB09205	HGNC:281	-1	drugbank
drugbank:DB01577	HGNC:10935	-1	drugbank
drugbank:DB00383	HGNC:1950	-1	drugbank
drugbank:DB11757	HGNC:262	-1	drugbank
drugbank:DB01613	HGNC:7944	1	drugbank
