pubchem.compound:5073	ncbigene:3356	downregulates
pubchem.compound:702	ncbigene:54586	upregulates
pubchem.compound:445643	ncbigene:5534	downregulates
pubchem.compound:3647	ncbigene:759	downregulates
pubchem.compound:4201	ncbigene:8313	upregulates
pubchem.compound:702	ncbigene:2938	upregulates
pubchem.compound:5280343	ncbigene:29881	downregulates
pubchem.compound:20279	ncbigene:836	upregulates
pubchem.compound:31703	ncbigene:1565	downregulates
pubchem.compound:31703	ncbigene:23411	downregulates
pubchem.compound:3961	ncbigene:116085	downregulates
pubchem.compound:3339	ncbigene:3949	upregulates
pubchem.compound:5073	ncbigene:3362	downregulates
pubchem.compound:444795	ncbigene:1956	downregulates
pubchem.compound:702	ncbigene:4851	downregulates
pubchem.compound:9444	ncbigene:7157	downregulates
pubchem.compound:3121	ncbigene:632	downregulates
pubchem.compound:3715	ncbigene:5228	downregulates
pubchem.compound:3964	ncbigene:1814	downregulates
pubchem.compound:4114	ncbigene:1548	downregulates
pubchem.compound:448537	ncbigene:51738	downregulates
pubchem.compound:5311304	ncbigene:4988	downregulates
pubchem.compound:4091	ncbigene:3099	downregulates
pubchem.compound:5070	ncbigene:4087	upregulates
pubchem.compound:4507	ncbigene:786	downregulates
pubchem.compound:33741	ncbigene:6532	downregulates
pubchem.compound:448537	ncbigene:5020	upregulates
pubchem.compound:3339	ncbigene:84699	upregulates
pubchem.compound:447043	ncbigene:4087	downregulates
pubchem.compound:5280453	ncbigene:3371	downregulates
pubchem.compound:4909	ncbigene:2891	downregulates
pubchem.compound:4636	ncbigene:3354	downregulates
pubchem.compound:2733526	ncbigene:5580	downregulates
pubchem.compound:36462	ncbigene:3491	upregulates
pubchem.compound:12035	ncbigene:1147	downregulates
pubchem.compound:3488	ncbigene:1374	downregulates
pubchem.compound:36314	ncbigene:983	upregulates
pubchem.compound:4497	ncbigene:783	downregulates
pubchem.compound:4091	ncbigene:2308	downregulates
pubchem.compound:5284616	ncbigene:3667	upregulates
pubchem.compound:3385	ncbigene:7098	upregulates
pubchem.compound:36314	ncbigene:6558	upregulates
pubchem.compound:12035	ncbigene:2915	downregulates
pubchem.compound:4748	ncbigene:3350	downregulates
pubchem.compound:2797	ncbigene:4792	upregulates
pubchem.compound:5280360	ncbigene:3558	downregulates
pubchem.compound:5280343	ncbigene:3308	downregulates
pubchem.compound:3038	ncbigene:766	downregulates
pubchem.compound:2763	ncbigene:1581	downregulates
pubchem.compound:448537	ncbigene:51083	upregulates
pubchem.compound:456201	ncbigene:1583	downregulates
pubchem.compound:36462	ncbigene:3725	upregulates
